# NFW profile properties
# 
# Units: G=Mh=rh=1 ==> Vh=1
# 
# a: NFW scale length relative to virial radius
# J: Total halo angular momentum for constant V_rot
# con_rot: defined be V_rot = con_rot * lambda_h Vh
# W: self-binding energy of halo
# T: Kinetic energy of halo
# E: Total energy of halo
# 2T/|W|: virial ratio which would equal unity 
# if halo were not truncated
# 
#    a    con_rot  J/V_rot   W      T       E     2T/|W|
   0.010   3.866   0.199  -3.457   1.765  -1.692   1.021
   0.020   4.030   0.230  -2.426   1.258  -1.169   1.037
   0.030   4.093   0.250  -2.009   1.055  -0.954   1.051
   0.040   4.126   0.266  -1.773   0.943  -0.830   1.064
   0.050   4.146   0.279  -1.617   0.870  -0.747   1.076
   0.060   4.161   0.290  -1.505   0.819  -0.687   1.088
   0.070   4.172   0.300  -1.421   0.781  -0.640   1.099
   0.080   4.183   0.308  -1.354   0.752  -0.602   1.110
   0.090   4.193   0.316  -1.299   0.728  -0.571   1.121
   0.100   4.202   0.323  -1.254   0.709  -0.544   1.132
   0.110   4.213   0.329  -1.215   0.694  -0.521   1.142
   0.120   4.223   0.335  -1.182   0.681  -0.501   1.152
   0.130   4.234   0.340  -1.153   0.670  -0.483   1.163
   0.140   4.245   0.345  -1.127   0.661  -0.466   1.172
   0.150   4.257   0.350  -1.105   0.653  -0.452   1.182
   0.160   4.269   0.354  -1.084   0.646  -0.438   1.192
   0.170   4.282   0.358  -1.066   0.640  -0.426   1.201
   0.180   4.296   0.362  -1.050   0.635  -0.414   1.211
   0.190   4.310   0.365  -1.034   0.631  -0.403   1.220
   0.200   4.324   0.369  -1.021   0.627  -0.393   1.229
   0.210   4.339   0.372  -1.008   0.624  -0.384   1.239
   0.220   4.355   0.375  -0.996   0.621  -0.375   1.248
   0.230   4.371   0.378  -0.985   0.619  -0.366   1.257
   0.240   4.387   0.381  -0.975   0.617  -0.358   1.266
   0.250   4.405   0.384  -0.965   0.615  -0.350   1.274
   0.260   4.422   0.386  -0.956   0.614  -0.343   1.283
   0.270   4.440   0.389  -0.948   0.612  -0.336   1.292
   0.280   4.459   0.391  -0.940   0.611  -0.329   1.300
   0.290   4.478   0.393  -0.933   0.611  -0.322   1.309
   0.300   4.498   0.396  -0.926   0.610  -0.316   1.318
   0.310   4.518   0.398  -0.919   0.610  -0.310   1.326
   0.320   4.539   0.400  -0.913   0.609  -0.304   1.334
   0.330   4.560   0.402  -0.907   0.609  -0.298   1.343
   0.340   4.582   0.404  -0.902   0.609  -0.293   1.351
   0.350   4.604   0.405  -0.896   0.609  -0.287   1.359
   0.360   4.627   0.407  -0.891   0.609  -0.282   1.367
   0.370   4.650   0.409  -0.886   0.610  -0.277   1.376
   0.380   4.674   0.410  -0.882   0.610  -0.272   1.384
   0.390   4.698   0.412  -0.877   0.610  -0.267   1.392
   0.400   4.723   0.414  -0.873   0.611  -0.262   1.400
   0.410   4.748   0.415  -0.869   0.612  -0.257   1.408
   0.420   4.774   0.417  -0.865   0.612  -0.253   1.416
   0.430   4.801   0.418  -0.861   0.613  -0.248   1.423
   0.440   4.828   0.419  -0.858   0.614  -0.244   1.431
   0.450   4.856   0.421  -0.854   0.615  -0.240   1.439
   0.460   4.884   0.422  -0.851   0.616  -0.235   1.447
   0.470   4.913   0.423  -0.848   0.616  -0.231   1.455
   0.480   4.943   0.425  -0.845   0.617  -0.227   1.462
   0.490   4.973   0.426  -0.842   0.618  -0.223   1.470
   0.500   5.004   0.427  -0.839   0.620  -0.219   1.477
   0.510   5.035   0.428  -0.836   0.621  -0.215   1.485
   0.520   5.068   0.429  -0.833   0.622  -0.211   1.493
   0.530   5.101   0.430  -0.831   0.623  -0.208   1.500
   0.540   5.134   0.431  -0.828   0.624  -0.204   1.507
   0.550   5.169   0.432  -0.826   0.625  -0.200   1.515
   0.560   5.204   0.433  -0.823   0.627  -0.197   1.522
   0.570   5.240   0.434  -0.821   0.628  -0.193   1.530
   0.580   5.277   0.435  -0.819   0.629  -0.190   1.537
   0.590   5.314   0.436  -0.817   0.631  -0.186   1.544
   0.600   5.353   0.437  -0.814   0.632  -0.183   1.552
   0.610   5.392   0.438  -0.812   0.633  -0.179   1.559
   0.620   5.432   0.439  -0.810   0.635  -0.176   1.566
   0.630   5.474   0.440  -0.809   0.636  -0.173   1.573
   0.640   5.516   0.441  -0.807   0.637  -0.169   1.580
   0.650   5.559   0.441  -0.805   0.639  -0.166   1.588
   0.660   5.604   0.442  -0.803   0.640  -0.163   1.595
   0.670   5.649   0.443  -0.801   0.642  -0.160   1.602
   0.680   5.696   0.444  -0.800   0.643  -0.156   1.609
   0.690   5.743   0.445  -0.798   0.645  -0.153   1.616
   0.700   5.792   0.445  -0.796   0.646  -0.150   1.623
   0.710   5.843   0.446  -0.795   0.648  -0.147   1.630
   0.720   5.894   0.447  -0.793   0.649  -0.144   1.637
   0.730   5.947   0.448  -0.792   0.651  -0.141   1.644
   0.740   6.002   0.448  -0.790   0.652  -0.138   1.650
   0.750   6.058   0.449  -0.789   0.654  -0.135   1.657
   0.760   6.116   0.450  -0.788   0.655  -0.132   1.664
   0.770   6.175   0.450  -0.786   0.657  -0.129   1.671
   0.780   6.236   0.451  -0.785   0.658  -0.127   1.678
   0.790   6.299   0.451  -0.784   0.660  -0.124   1.684
   0.800   6.363   0.452  -0.782   0.662  -0.121   1.691
   0.810   6.430   0.453  -0.781   0.663  -0.118   1.698
   0.820   6.499   0.453  -0.780   0.665  -0.115   1.705
   0.830   6.570   0.454  -0.779   0.666  -0.112   1.711
   0.840   6.643   0.454  -0.778   0.668  -0.110   1.718
   0.850   6.719   0.455  -0.777   0.670  -0.107   1.724
   0.860   6.797   0.456  -0.775   0.671  -0.104   1.731
